type_chaussure,prix,adresse,image_link
Chaussures hommes,30.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5081267_uploaded_image1_1733603021.jpg
Chaussures Adidas,25.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5081265_uploaded_image1_1733602892.jpg
Chaussures hommes,30.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5081258_uploaded_image1_1733601310.jpg
Baskets Adidas,25.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5081254_uploaded_image1_1733601174.jpg
Chaussures homme,15.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5078434_uploaded_image1_1733441016.jpg
Chaussures Timberland,35.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5078242_uploaded_image2_1733434251.jpeg
Chaussures hommes,25.000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5034128_uploaded_image1_1731082208.jpg
Baskets Puma,18.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5075925_uploaded_image1_1733326369.jpg
Chaussures de ville,19.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5075850_uploaded_image1_1733324048.jpg
Baskets Jordan MVP Team Gold,25.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5074416_uploaded_image1_1733256921.jpg
Baskets Jordan,30.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071859_uploaded_image1_1733154927.jpg
Baskets New Balance,30.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071856_uploaded_image1_1733154811.jpg
Chaussures homme,20.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071839_uploaded_image1_1733154107.jpg
Baskets Boss,15.000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071214_uploaded_image1_1733134390.jpg
Crocs,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071200_uploaded_image1_1733134046.jpg
Baskets All star,20.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071181_uploaded_image1_1733133576.jpg
Chaussures hommes,15.000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071180_uploaded_image1_1733133566.jpg
Adidas training,20.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071168_uploaded_image1_1733133312.jpg
